347,5,4,D
348,4,3,T
349,3,2,D
350,2,A,T
351,A,K,D
352,K,Q,T
353,Q,J,D
354,J,10,T
355,10,9,D
356,9,8,T
357,8,7,D
358,7,6,T
359,6,5,D
360,5,4,T
361,4,3,D
362,3,2,T
363,2,A,D
364,A,K,T
365,K,Q,D
366,Q,J,T
367,J,10,D
368,10,9,T
369,9,8,D
370,8,7,T
371,7,6,D
372,6,5,T
373,5,4,D
374,4,3,T
375,3,2,D
376,2,A,T
377,A,K,D
378,K,Q,T
379,Q,J,D
380,J,10,T
381,10,9,D
382,9,8,T
383,8,7,D
384,7,6,T
385,6,5,D
386,5,4,T
387,4,3,D
388,3,2,T
389,2,A,D
390,A,K,T
391,K,Q,D
392,Q,J,T
393,J,10,D
394,10,9,T
395,9,8,D
396,8,7,T
397,7,6,D
398,6,5,T
399,5,4,D
400,4,3,T
401,3,2,D
402,2,A,T
403,A,K,D
404,K,Q,T
405,Q,J,D
406,J,10,T
407,10,9,D
408,9,8,T
409,8,7,D
410,7,6,T
411,6,5,D
412,5,4,T
413,4,3,D
414,3,2,T
415,2,A,D
416,A,K,T
417,K,Q,D
418,Q,J,T
419,J,10,D
420,10,9,T
421,9,8,D
422,8,7,T
423,7,6,D
424,6,5,T
425,5,4,D
426,4,3,T
427,3,2,D
428,2,A,T
429,A,K,D
430,K,Q,T
431,Q,J,D
432,J,10,T
433,10,9,D
434,9,8,T
435,8,7,D
436,7,6,T
437,6,5,D
438,5,4,T
439,4,3,D
440,3,2,T
441,2,A,D
442,A,K,T
443,K,Q,D
444,Q,J,T
445,J,10,D
446,10,9,T
447,9,8,D
448,8,7,T
449,7,6,D
450,6,5,T
451,5,4,D
452,4,3,T
453,3,2,D
454,2,A,T
455,A,K,D
456,K,Q,T
457,Q,J,D
458,J,10,T
459,10,9,D
460,9,8,T
461,8,7,D
462,7,6,T
463,6,5,D
464,5,4,T
465,4,3,D
466,3,2,T
467,2,A,D
468,A,K,T
469,K,Q,D
470,Q,J,T
471,J,10,D
472,10,9,T
473,9,8,D
474,8,7,T
475,7,6,D
476,6,5,T
477,5,4,D
478,4,3,T
479,3,2,D
480,2,A,T
481,A,K,D
482,6,9,T
483,Q,J,D
484,J,10,T
485,10,9,D
486,9,8,T
487,8,7,D
488,7,6,T
489,6,5,D
490,5,4,T
491,4,3,D
492,3,2,T
493,2,A,D
494,A,K,T
495,K,Q,D
496,4,2,D
497,4,A,D
498,10,9,D
499,9,7,D
500,6,10,T
501,10,6,D
502,2,3,T
503,Q,K,T
504,J,A,D
505,7,6,D
